,0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,1.8
562,2.4
563,2.7
564,3.1
565,2.2
566,1.6
567,1.8
568,0.7
569,1.1
570,2.0
571,3.7
572,4.6
573,5.3
574,6.1
575,7.2
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,1.8
586,2.4
587,2.7
588,3.1
589,2.2
590,1.6
591,1.8
592,0.7
593,1.1
594,2.0
595,3.7
596,4.6
597,5.3
598,6.1
599,7.2
600,9.55115
601,8.90885
602,7.787642
603,6.3859544
604,6.1958175
605,4.834155
606,3.5744033
607,5.8683863
608,5.8683863
609,5.2958946
610,3.953876
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,1.8
621,2.4
622,2.7
623,3.1
624,2.2
625,1.6
626,1.8
627,0.7
628,1.1
629,2.0
630,3.7
631,4.6
632,5.3
633,6.1
634,7.2
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,1.8
645,2.4
646,2.7
647,3.1
648,2.2
649,1.6
650,1.8
651,0.7
652,1.1
653,2.0
654,3.7
655,4.6
656,5.3
657,6.1
658,7.2
659,9.55115
660,8.90885
661,7.787642
662,6.3859544
663,6.1958175
664,4.834155
665,3.5744033
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,1.8
676,2.4
677,2.7
678,3.1
679,2.2
680,1.6
681,1.8
682,0.7
683,1.1
684,2.0
685,3.7
686,4.6
687,5.3
688,6.1
689,7.2
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,1.8
700,2.4
701,2.7
702,3.1
703,2.2
704,1.6
705,1.8
706,0.7
707,1.1
708,2.0
709,3.7
710,4.6
711,5.3
712,6.1
713,7.2
714,9.55115
715,8.90885
716,7.787642
717,6.3859544
718,6.1958175
719,4.834155
720,3.5744033
721,5.8683863
722,5.8683863
723,5.2958946
724,3.953876
725,3.7
726,7.5
727,15.0
728,21.2
729,25.7
730,27.7
731,29.6
732,31.8
733,34.8
734,37.4
735,40.0
736,42.4
737,45.9
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,1.8
748,2.4
749,2.7
750,3.1
751,2.2
752,1.6
753,1.8
754,0.7
755,1.1
756,2.0
757,3.7
758,4.6
759,5.3
760,6.1
761,7.2
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,1.8
772,2.4
773,2.7
774,3.1
775,2.2
776,1.6
777,1.8
778,0.7
779,1.1
780,2.0
781,3.7
782,4.6
783,5.3
784,6.1
785,7.2
786,9.55115
787,8.90885
788,7.787642
789,6.3859544
790,6.1958175
791,4.834155
792,3.5744033
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,1.8
803,2.4
804,2.7
805,3.1
806,2.2
807,1.6
808,1.8
809,0.7
810,1.1
811,2.0
812,3.7
813,4.6
814,5.3
815,6.1
816,7.2
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,1.8
827,2.4
828,2.7
829,3.1
830,2.2
831,1.6
832,1.8
833,0.7
834,1.1
835,2.0
836,3.7
837,4.6
838,5.3
839,6.1
840,7.2
841,9.55115
842,8.90885
843,7.787642
844,6.3859544
845,6.1958175
846,4.834155
847,3.5744033
848,5.8683863
849,5.8683863
850,5.2958946
851,3.953876
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,1.8
862,2.4
863,2.7
864,3.1
865,2.2
866,1.6
867,1.8
868,0.7
869,1.1
870,2.0
871,3.7
872,4.6
873,5.3
874,6.1
875,7.2
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,1.8
886,2.4
887,2.7
888,3.1
889,2.2
890,1.6
891,1.8
892,0.7
893,1.1
894,2.0
895,3.7
896,4.6
897,5.3
898,6.1
899,7.2
900,9.55115
901,8.90885
902,7.787642
903,6.3859544
904,6.1958175
905,4.834155
906,3.5744033
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,1.8
917,2.4
918,2.7
919,3.1
920,2.2
921,1.6
922,1.8
923,0.7
924,1.1
925,2.0
926,3.7
927,4.6
928,5.3
929,6.1
930,7.2
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,1.8
941,2.4
942,2.7
943,3.1
944,2.2
945,1.6
946,1.8
947,0.7
948,1.1
949,2.0
950,3.7
951,4.6
952,5.3
953,6.1
954,7.2
955,9.55115
956,8.90885
957,7.787642
958,6.3859544
959,6.1958175
960,4.834155
961,3.5744033
962,5.8683863
963,5.8683863
964,5.2958946
965,3.953876
966,3.7
967,7.5
968,15.0
969,21.2
970,25.7
971,27.7
972,29.6
973,31.8
974,34.8
975,37.4
976,40.0
977,42.4
978,45.9
979,47.5
980,45.1
981,42.2
982,38.8
983,35.3
984,32.0
985,29.0
986,26.4
987,24.0
988,21.8
989,19.6
990,17.0
991,14.8
992,12.4
993,10.1
994,9.8
995,13.1
996,15.9
997,18.3
998,20.9
999,24.4
1000,27.5
1001,29.8
1002,31.6
1003,33.7
1004,35.5
1005,37.5
1006,39.6
1007,41.8
1008,44.0
1009,46.1
1010,48.3
1011,50.5
1012,52.5
